timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
102884,20,9250,18367,14266,13668,15989,3071,5443,6324,32767,31362,32767,32767,32767,31786,32767
102892,19,21683,18995,20705,20316,21222,23173,20289,22237,23051,22540,12045,18441,14633,23987,17901
102900,16,32213,1229,768,382,1642,32767,30042,32767,2491,168,5401,941,4577,2153,2265
102908,0,32767,32767,32767,32767,32767,26163,32767,28556,26951,29017,21250,22009,20437,31145,19596
102915,23,17504,21589,24234,24672,26083,22189,22353,22104,32767,32767,32767,32716,32292,32767,32097
102923,32,7052,1345,2298,3809,7457,3174,483,2004,31603,31950,32767,32767,32767,32767,32767
102931,43,21164,9235,11066,18016,3311,19690,11842,8326,21998,20305,12161,20139,7811,22348,10170
102938,20,32767,27422,4886,3057,19343,32767,986,28575,11722,14892,12672,7239,19829,17687,17074
102946,54,32645,32767,32767,32767,32767,31536,32767,32767,32767,32767,32767,28991,31921,32767,30653
102954,81,17926,19588,18012,18802,18875,21898,11603,13372,31152,28371,32767,32767,32767,24884,32767
102962,48,974,2851,3778,3434,5998,3058,157,4062,18544,15497,25243,21838,27157,13658,26952
102969,11,14144,10710,6659,5103,10817,12767,5547,6137,22387,19816,23355,22634,15434,22031,16896
102977,27,31571,32767,29931,28787,29217,30501,15919,24967,2298,467,9201,172,15536,3654,11059
102985,74,31090,29433,31741,30563,29406,31557,32767,32550,32767,32767,32767,32767,32767,32767,32767
102992,61,545,18056,20948,20442,21795,6039,214,6521,21046,19391,16566,23833,20629,18333,23710
103000,24,22354,560,750,371,2128,18180,24391,17281,1341,2452,3691,1514,4811,2663,6856
103008,31,32767,23948,23049,15067,21034,32767,32767,32767,21135,22568,1099,8112,8253,23484,3653
103016,16,12354,18909,23989,20543,20301,13214,23107,12456,32767,32767,29794,21354,28624,32767,24657
103023,54,7828,12280,20539,26543,19252,2641,1484,7853,28231,27606,32767,32767,32767,28465,32767
103031,85,8323,13145,21626,21207,21408,2749,3499,13782,24641,23383,9434,20828,15476,24898,16285
103039,32,32767,6180,2905,2132,2847,15528,24825,3463,4689,1410,3029,701,6963,2849,5424
103046,26,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,22837,27641,32767,26542
103054,43,12182,17386,19843,21940,19633,18011,9860,13104,32767,32767,32767,32767,32767,30117,32767
103062,74,1071,211,2114,1629,283,940,418,5459,15172,15533,25173,23755,26587,14897,24883
103070,45,32767,4024,7358,8866,11158,28280,7996,28789,21971,20209,23977,21950,7286,14168,8331
103077,15,32767,14968,9450,8630,6790,32767,32015,32767,1577,153,11000,1813,15752,7705,11202
103085,38,20280,32767,32767,32767,32767,20019,32767,25960,32767,32767,32767,31711,32767,32767,32767
103093,63,14057,18813,19071,19290,19922,16109,826,18100,22402,19675,25344,32767,29812,17551,32767
103101,86,16726,3687,3709,3023,2744,9840,13494,14503,1065,136,13219,14070,12420,560,15693
103108,33,32767,19898,21568,13165,11547,32767,20414,32767,15451,16489,5343,6612,2790,18081,2775
103116,41,17769,24004,27688,23045,21297,22461,28254,21844,32767,32767,23540,14331,26039,32767,21271
103124,38,6210,23137,25952,31444,31973,8350,22829,8166,32020,29693,32767,32767,32767,29524,32767
103131,0,17270,20185,22891,21429,22214,21232,2095,18767,25018,23879,10544,18792,17257,25075,20633
103139,7,6243,378,1390,514,675,538,26349,2655,6008,4148,1283,1122,3589,3516,508
103147,19,32767,17446,26776,20998,17784,32767,32767,32767,29023,31001,22364,22194,23319,31588,18489
103155,12,13850,17903,22739,21437,21374,17247,14867,12759,32767,32767,32767,32767,32767,32767,31873
103162,54,1815,17496,12198,15424,19633,1891,495,1632,20368,19484,25152,29184,30888,17498,32381
103170,67,8914,3453,9436,9060,7819,20291,9501,18241,24159,23290,22637,23521,14839,22864,14940
103178,26,5055,23369,7672,8533,9423,11245,8809,5431,5061,2757,6138,2144,8761,3487,6160
103185,11,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,27042,32767,32767,32767
