timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
19498,16938,29506,17226,12610,23727,23719,21936,19881,21394,473,1262,126,242,500,527,492
19506,21171,30387,22811,20963,30651,30261,24182,26379,21850,412,482,162,232,253,354,197
19514,27958,16019,10096,10476,14611,13414,22997,29973,19247,534,155,184,176,24,17,12
19521,19561,13035,136,5449,3474,4654,22931,16381,20781,1153,525,263,223,240,466,545
19529,6598,6096,24443,11060,13952,20892,6408,1050,4020,1216,879,145,35,474,398,724
19537,19540,20621,30565,31199,28837,32402,24653,22813,29563,492,1355,56,21,875,824,1088
19545,15057,25626,16228,24917,23893,22013,22528,24658,22236,730,2105,111,157,1244,999,1298
19552,19920,10127,277,2936,3347,1020,14975,9578,904,727,2305,144,211,1349,1350,1273
19560,9284,4233,2178,1363,5427,5365,2309,5249,2266,332,456,549,247,1593,1831,1030
19568,19625,17151,13099,6616,16486,17788,10682,21148,8635,17483,17480,19249,17583,17704,19942,15928
19575,32767,32767,32767,32767,32767,32767,31662,32767,32767,5410,5176,2392,10262,9620,4166,9464
19583,16439,24127,20064,19882,20966,20928,30175,15542,21777,8052,7730,7909,12845,13972,10367,12330
19591,393,15969,7712,5670,8057,9724,15375,3474,8558,8658,7616,7953,8135,8454,8206,8746
19598,3413,21513,26114,25433,24839,24984,12302,15754,11102,6104,6503,4998,5736,4156,4827,4400
19606,19601,23136,30060,32185,29185,30753,24039,27233,25749,2936,3402,1469,1527,3341,3093,3086
19614,32767,30647,11185,10377,13480,13523,32767,32506,31580,1892,2792,535,396,2011,2358,1712
19622,19766,20809,5373,9777,15151,14669,21456,18243,19995,841,1521,86,152,885,956,834
19629,7306,7301,20968,14231,7441,6392,3624,2868,1485,99,656,11,170,519,80,457
19637,29604,28071,31021,32203,30416,29278,32767,23542,32767,635,7,257,322,406,143,337
19645,25157,31869,22786,24980,25041,25498,22160,25483,21649,1168,242,303,256,0,316,376
19653,17294,4052,4163,7983,3603,3936,725,18005,1871,1228,980,241,62,424,632,736
19660,18607,2397,12184,7962,12676,13219,13214,5723,16195,640,1272,25,15,818,574,1024
19668,6492,23224,25860,23688,26867,27224,2903,21403,544,687,1896,83,177,1159,959,1081
19676,32767,32767,32767,32767,32767,32767,32767,32767,32767,695,2419,85,198,1299,1311,1347
19683,14927,11000,20395,20059,20968,22200,16691,12629,12509,443,740,295,102,1609,1778,1233
19691,13205,10819,4562,5826,4558,5509,6755,10789,5940,10489,10501,11855,10404,11101,12788,9390
19699,10001,30100,17912,19319,19977,21523,20683,13466,14375,15433,17760,17798,23260,20501,17088,22533
19707,21838,32767,24397,28684,27378,31846,32767,30709,31828,9767,11856,14164,16944,16271,14354,17174
19714,32767,27428,22035,25135,23325,25995,31467,32767,32767,8187,7525,8048,8190,8559,8223,8805
19722,16740,18315,6989,10067,7758,8931,22599,13484,17229,7249,7209,5987,6809,5034,5516,5391
19730,7388,1611,14699,12908,13633,10342,333,1931,3454,3100,3667,1793,1871,3560,3247,3267
19737,30496,25350,28838,29960,28846,28435,31746,23859,31154,2265,2907,641,415,2341,2572,1941
19745,26815,30967,26365,28882,28001,29452,29175,26489,26266,935,1893,12,23,1024,1132,1087
19753,19204,12571,2765,5232,2269,1899,19340,22778,12345,45,643,6,204,283,429,175
19761,20875,10498,11690,9314,12682,12863,24298,10474,20467,635,102,286,299,301,23,116
19768,1464,8595,30187,32767,30791,27809,11005,8852,11257,981,339,356,273,427,449,589
19776,32767,29872,25324,27425,28197,24765,32767,32253,31305,1365,832,151,100,440,502,515
19784,16723,32767,12239,16351,13774,17210,32767,27883,32036,697,1227,99,3,677,397,1029
19791,11485,17002,665,5402,257,7016,11871,704,7962,644,1679,87,131,1072,903,1068
19799,3149,14275,21218,24265,23889,21356,9134,2379,3785,681,2471,104,185,1289,1307,1485
19807,14622,22533,32368,32767,32767,32767,18137,20877,19505,360,1010,180,74,1575,1674,1125
19815,32767,32767,26989,30520,25210,25422,32767,32767,32767,3985,3906,5087,4368,5345,6141,4121
19822,15021,11435,3926,9611,6740,7101,17783,13067,14047,27641,27765,30126,30680,30780,28201,30806
19830,8343,3573,6992,3979,1990,2381,6992,7608,6223,13760,14095,17849,17655,19443,16917,18923
19838,16556,30881,24408,22412,22912,24555,32767,22702,27107,8361,7322,8370,7297,8092,8094,8286
19846,20683,30932,26825,29869,29469,30926,28609,28142,25697,7797,7577,6880,7533,5991,6652,6367
19853,27138,19834,5223,6842,9075,8753,26049,28764,25647,3367,4062,2107,2372,3488,3188,3174
19861,19601,19528,184,3995,2384,4467,24084,14329,20851,2334,2954,773,658,2718,2841,2384
19869,5376,6538,22188,12536,20939,20406,2194,5955,4585,1268,2123,207,38,1161,1298,992
19876,32767,32767,27522,26964,27688,30906,32767,32767,32767,186,1097,120,166,638,426,487
19884,18706,32767,9533,13852,12270,13389,20030,28649,16462,458,223,222,287,56,221,152
19892,6654,14274,3966,3089,1032,1408,8054,208,7920,1062,338,294,292,432,194,257
19900,3272,12859,15370,10756,16324,18721,6551,1009,8799,1141,553,276,150,144,464,578
19907,10144,17818,31915,25643,30288,32767,1300,21975,1441,1059,1195,128,113,785,673,981
19915,32767,32767,32767,32767,32767,32767,32767,32767,32767,402,1526,138,248,955,725,1036
19923,15567,15398,19462,20334,21472,22818,21366,13648,16573,920,2425,28,143,1320,1216,1403
19930,5785,9543,10483,8720,9652,11201,13063,3520,11351,361,1532,54,153,1359,1510,1320
19938,15032,31401,25395,19855,19959,22320,21630,18874,15260,146,331,933,605,1856,2018,673
19946,25833,32767,26932,25464,25349,27190,30684,28591,27253,32189,31784,32767,32767,32767,32767,30862
19954,29948,26401,10101,13220,14303,13033,30159,31380,31513,12493,12663,14964,14302,15755,15580,13592
19961,19359,20047,1903,1363,3365,3609,23009,16405,20557,8581,7515,8205,7348,8271,7981,8153
19969,7246,2008,27669,27810,27915,26700,570,5102,3339,8196,7519,7260,7849,6577,7299,7446
19977,32767,32767,31180,31376,30632,31372,32767,25949,32767,4166,4974,2879,3403,3686,3431,3359
19985,25208,25990,21691,20996,24262,24379,17175,24876,16427,2607,3090,953,856,3054,2880,2570
19992,11950,1000,6901,6626,12676,10952,2019,15264,3847,1460,2498,259,116,1421,1788,1105
20000,21295,7874,13902,13217,13769,14718,16840,3984,19588,208,976,66,176,544,348,687
20008,2807,8052,28197,25978,31322,32266,2212,22584,1261,357,534,256,259,325,202,181
20015,32767,32767,32616,32767,32767,32767,32767,32767,32767,839,216,254,287,434,33,143
20023,17123,12074,18307,20979,20996,19525,17013,13107,12421,1237,832,318,215,132,559,639
20031,11759,9666,1327,1613,6170,5696,5990,8750,4853,1160,885,117,18,642,733,749
20039,672,29575,22639,18222,23813,26027,19957,14749,14169,425,1567,69,75,836,595,1090
20046,11266,32767,26458,24293,29354,31746,32767,29034,30392,809,2225,94,192,1334,1175,1485
20054,32767,24894,22054,27272,23911,23090,32391,32767,32767,555,2000,20,146,1520,1520,1243
20062,17536,19183,18397,20970,19787,20593,24584,19414,22859,160,253,663,451,1648,1964,849
20070,3620,3724,8754,400,1164,922,1212,2934,580,27872,27096,28580,27186,26349,29518,24791
20077,11407,23063,23266,26098,28490,29436,28524,17556,23974,7754,7385,9602,7124,6322,11512,5538
20085,15946,28779,22817,28684,28974,28605,28510,26086,24299,8041,6688,7444,7250,9216,6940,8724
20093,28350,15748,11312,3074,2935,3307,23123,26972,19369,7776,7748,7818,8024,7638,7924,7930
20100,20383,1440,9043,11926,7007,7812,20408,10574,10906,4902,5402,3655,4501,3740,3803,3581
20108,2630,15739,8678,3253,7183,4886,406,9259,5862,2816,3278,1163,1048,3198,2990,2765
20116,32767,32767,32318,32767,32767,32767,32767,32767,32767,1691,2498,357,200,1659,2029,1566
20124,22124,22716,21720,24700,24404,24933,23938,28715,25109,442,1135,54,148,772,652,392
20131,12468,16611,6160,1155,5588,4650,15912,6111,12549,176,812,160,251,266,250,509
20139,3712,15834,23602,23148,21904,22254,12349,10667,6681,846,101,245,279,362,48,162
20147,9178,21614,32767,32767,32767,32767,26312,26828,23458,1111,506,250,198,128,518,608
20154,32767,32767,25855,25725,26886,26571,32767,32767,32767,1254,873,251,95,572,544,804
20162,14182,13774,18389,24170,23284,23607,17148,13066,14462,495,1419,11,76,777,683,1026
20170,7328,2212,5012,14452,11641,11388,1820,3115,3296,817,2176,101,155,1241,1004,1201
20178,23248,25038,20281,19283,24680,25651,32663,20213,29999,487,2364,148,205,1351,1344,1445
20185,22317,29031,27035,29804,31397,32767,29033,25347,25368,346,342,538,210,1723,1993,886
20193,24874,17836,6277,7498,6145,5726,25016,28054,22440,19366,19329,21979,19246,18507,21605,17284
20201,22159,21805,2232,6301,1180,1393,24808,13450,20961,3167,2516,1364,6078,7234,776,6587
20208,3642,3889,19637,12155,16684,17594,415,6053,9370,8424,7481,7500,11243,13377,9228,11454
20216,32767,32767,27935,31749,27399,28088,32767,32767,25895,8301,7374,7758,7575,7883,8226,8495
20224,18345,19345,21454,24595,23700,23406,23467,32767,32669,5805,6396,4739,5565,4082,4559,4213
20232,8901,17832,8560,3883,7283,9873,11639,595,3358,2864,3292,1338,1310,3135,3059,2921
20239,8466,2260,22241,24465,23455,21896,4265,4792,2189,1878,2807,464,309,2010,2182,1776
20247,4578,13142,32767,32767,32767,32767,21810,23229,19447,756,1566,42,70,992,1028,887
20255,32767,32767,27364,32767,29492,30538,32767,32767,32767,140,523,134,203,425,257,123
20262,14361,12109,6223,12847,10408,10691,17638,13907,14291,598,43,272,303,42,63,31
