timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
3004,32767,12720,29753,32256,4688,22913,3359,25392,335,7706,11922,7640,9637,25232,32767,6927
3011,23359,26959,20615,28,17594,14537,17983,13252,4855,12083,394,19519,24449,22077,28948,22618
3019,32767,32767,29748,31,28345,29873,25026,17425,13492,25814,187,32082,28556,32164,23089,31368
3027,17774,18200,14398,3,23441,17315,23100,22612,23158,20823,191,32767,27789,21531,10621,20363
3034,6898,7368,6549,42,14538,4275,14431,19205,24621,4516,79,5498,9505,810,15158,1624
3042,15154,15580,10004,63,1369,15637,6445,15494,23262,6381,219,22420,21767,13561,10136,11296
3050,29773,31236,25106,1,25766,11180,23340,8897,12067,14418,209,31704,30778,27601,30444,26181
3058,32174,32767,32767,18,31535,28722,32767,32767,32767,31828,129,30130,22128,29397,23715,29524
3065,20945,19844,20921,35,24127,22839,19205,14310,14677,25962,117,28531,24363,17046,22561,14180
3073,768,6122,7221,42,13909,20489,4566,3815,6431,22869,107,1780,4909,4673,20012,10192
3081,32767,32767,19140,31,17642,10954,30793,9275,7312,6047,164,32767,32767,31061,32767,29347
3089,29696,32767,29071,8,32767,32767,32767,30966,31833,32767,352,28034,25378,29021,29936,28105
3096,24616,20116,24793,22,28383,30090,24463,32164,32767,30643,420,10467,4890,16266,7319,16198
3104,15196,24452,23589,43,26529,14760,25835,22699,18020,23810,314,16586,14051,5174,8982,735
3112,15277,11944,2685,11,1808,9988,914,1524,9822,5074,148,2477,5233,16438,11031,20391
3119,32767,32767,24733,56,29754,29576,32767,21960,16933,29825,255,32767,32767,32767,25618,32740
3127,14574,13985,20635,1,26724,27545,27594,27509,28256,32394,243,23055,19233,22688,26791,22844
3135,10134,2475,11647,55,19817,20082,16213,28191,27945,13870,32,4737,3575,1437,407,1190
3143,11780,9797,9470,38,520,17455,20961,19617,19919,13279,168,14636,15509,14149,32767,12536
3150,27565,29009,28121,44,28074,12126,16856,8825,16223,8776,139,29611,30956,27297,27760,26873
3158,32767,32767,32763,16,32767,29434,32767,32767,32767,23966,91,29570,27218,30211,7948,29483
3166,19728,18645,21816,33,20480,23077,16207,14433,13864,22469,270,28003,22781,19980,22310,18452
3173,207,5899,7316,49,8664,20524,7545,2956,4547,27474,82,3339,1145,927,24582,6128
3181,31532,26421,7919,11,9282,3583,24963,1056,17921,8048,269,32767,32767,28221,24690,28204
3189,32767,32767,29802,61,32668,32767,32767,29093,32767,32767,170,28972,26513,29898,32767,27441
3197,24009,17165,26963,9,29434,31567,24192,32767,29727,27776,61,11458,7064,16023,14926,17326
3204,14935,20943,19820,5,21415,21341,23339,18126,19815,24751,234,16099,13272,3660,3764,1586
3212,13976,10837,3324,51,1704,3721,2508,1506,1944,5489,379,56,5504,16353,15976,20624
3220,32767,32767,20697,17,26819,29525,32767,22134,20666,27050,386,32767,32767,32767,30565,32767
3227,15230,14912,21008,32,25282,30078,27721,26678,32767,32269,418,27696,19718,23068,25906,25034
3235,6090,3097,17100,38,19306,21298,21916,28672,28451,19276,308,4162,3948,1547,15331,1289
3243,6905,4621,21235,57,23784,11452,25630,18702,22369,25436,119,15445,2243,15491,32767,13442
3251,23546,22118,1418,66,1830,18681,12804,7480,8830,2972,95,28139,23019,25203,28152,24403
3258,32767,32236,16801,15,29348,30554,32767,21370,25660,32767,98,32612,32767,30836,18887,29888
3266,20312,25629,11445,118,6092,7733,18966,18923,17459,7169,57,32767,26986,24117,560,16111
3274,5929,12043,18051,34,4502,6852,11709,19273,14580,4252,232,2900,7763,13538,2117,7069
3282,13512,16518,8869,35,831,10955,13728,4297,14708,8144,193,32767,29866,9639,1737,9145
3289,30379,32767,28987,58,30891,29046,32767,23957,14166,32767,167,23517,29674,29931,28757,27919
3297,27690,24943,26006,51,32767,32767,32458,32767,32767,32767,213,9404,11241,24332,14526,23305
3305,8546,21387,20813,19,22260,12021,24106,18134,14753,26879,195,21976,17901,6913,12746,3002
3312,10697,3024,6998,11,7715,5095,6918,3878,13118,9012,154,4639,492,14253,13481,19708
3320,32767,32767,23738,76,23627,20871,29230,20112,16247,26826,101,32767,32767,32767,32767,32229
3328,22732,26370,21133,22,28530,32719,32767,28533,32470,29879,118,29166,20647,27805,26601,27780
3336,602,228,20751,16,24374,26948,18894,29526,29237,26125,219,5069,1245,3652,10859,2814
3343,348,6062,22058,77,24850,18059,26624,14913,22618,27952,418,5999,3548,12285,23081,13641
3351,21275,12606,1984,44,944,11868,13269,6817,8872,295,387,19808,19474,24505,28740,24063
3359,32767,32767,32767,3,23331,32552,32767,24553,28458,29929,430,32767,32767,31416,24995,32135
3366,16840,15992,18703,39,22368,24725,15136,22359,20352,25845,118,26846,21176,20813,13846,18784
3374,976,249,3362,22,16477,11973,6975,9238,9622,19498,235,730,1790,1501,12132,1056
