timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
6.916,6389.5650000000005,6389.5650000000005,3846.7650000000003,85.995,5534.1,4962.75,6389.5650000000005,6389.5650000000005,6389.5650000000005,4743.765,274.365,6389.5650000000005,6389.5650000000005,6389.5650000000005,6389.5650000000005,6389.5650000000005
6.923,1005.0300000000001,-3787.29,2799.6150000000002,85.215,1240.5900000000001,2217.735,-4378.725,408.135,-2625.2850000000003,-220.35,228.93,-5705.7,-3437.2650000000003,44.655,83.655,-1090.2450000000001
6.932,1561.17,-907.14,-3540.42,97.5,-2844.465,-3170.505,-557.895,2716.935,114.075,370.695,188.955,-1068.015,-236.34,2079.87,-2200.77,3248.895
6.934,5760.6900000000005,3680.625,477.555,84.825,1440.075,1119.69,3793.725,6289.725,4118.400000000001,4854.72,271.245,3629.34,3961.23,5974.215,2190.045,6386.445000000001
6.94,5304.0,4251.975,6388.005,78.78,6388.785,6389.175,5267.7300000000005,5839.665,4167.735000000001,5590.845,65.91,3028.155,4708.860000000001,4850.43,6387.615,5268.51
6.942,3216.33,-263.83500000000004,4460.625,73.905,4130.295,4660.89,1204.32,2800.005,-78.97500000000001,3354.975,72.735,-1733.7450000000001,395.46000000000004,2075.9700000000003,4632.225,2395.965
6.944,10.335,-3674.385,3753.75,74.685,1333.9950000000001,3063.4500000000003,-2031.1200000000001,-241.02,-3473.925,898.365,175.695,-5455.905,-2863.185,-1364.025,840.45,-557.7
6.948,-2810.5350000000003,-4959.63,-2114.58,83.46000000000001,-4834.245,-2974.335,-4578.21,-2104.05,-2991.69,-6135.87,53.82,-4126.785,-3927.105,-2329.665,-5225.025000000001,-2579.265
6.952,2203.89,-1014.7800000000001,-4210.245,100.035,-2495.8050000000003,-3559.335,-491.79,1164.345,981.4350000000001,615.4200000000001,166.53,72.93,406.185,2788.695,-1100.385,1646.19
6.958,5712.33,6388.005,6388.785,77.025,6389.175,6389.37,6389.5650000000005,6364.6050000000005,6377.085,6383.325,165.75,5873.595,6381.765,5487.1050000000005,6388.005,6267.1050000000005
6.968,-4267.965,-3469.2450000000003,-5853.3150000000005,99.84,-5491.2,-4692.4800000000005,-3460.08,-2663.7000000000003,-2764.32,-5959.2,74.88,-3711.045,-2837.0550000000003,-3373.8900000000003,-6125.7300000000005,-4927.650000000001
6.97,-2966.925,-2966.925,-5205.915,85.605,-5434.26,-5994.1050000000005,-2350.725,126.555,-2409.6150000000002,-3408.21,34.71,-3062.67,-2264.34,-132.01500000000001,-4327.05,-2229.63
6.974,4966.650000000001,3844.0350000000003,524.16,99.84,1847.04,1397.565,5191.875,6389.37,4420.845,5255.25,296.01,4540.965,5256.03,6376.695000000001,4586.01,5487.885
6.976,6389.5650000000005,6389.5650000000005,4015.2450000000003,89.11500000000001,5136.3,4566.705,6376.695000000001,6383.13,6386.445000000001,6388.005,250.57500000000002,6389.37,6389.5650000000005,6389.5650000000005,6389.5650000000005,6389.5650000000005
6.982,3732.69,402.285,4992.0,71.565,4927.845,4859.985000000001,-1831.05,3003.195,-120.51,2435.745,126.94500000000001,-2469.09,-402.87,2150.655,3493.23,1743.4950000000001
6.984,265.785,-633.36,1680.1200000000001,82.68,1638.9750000000001,3015.87,-4628.13,18.330000000000002,-2605.2000000000003,-317.46000000000004,183.3,-5458.245,-2812.0950000000003,-403.65000000000003,890.1750000000001,-994.3050000000001
6.988,-4614.285,-5088.525000000001,-5487.885,99.84,-5890.56,-4268.16,-3469.44,-4461.6,-3563.04,-6256.575,36.465,-4161.6900000000005,-3411.33,-4060.29,-5957.25,-3561.09
6.99,-2758.275,-2763.15,-5058.3,101.4,-5090.28,-5589.4800000000005,-2796.69,-901.2900000000001,-2198.4300000000003,-2395.38,50.7,-3530.8650000000002,-2828.8650000000002,-66.69,-3461.25,145.47
6.992,910.65,-792.48,-2637.96,101.4,-2465.9700000000003,-3160.17,-124.995,1834.365,31.395,174.915,225.615,-1022.385,-529.4250000000001,2521.35,-717.21,2637.375
6.996,6389.5650000000005,6389.5650000000005,4739.085,77.805,5329.74,4267.185,6389.175,6389.37,6389.5650000000005,6389.5650000000005,218.205,6386.445000000001,6388.005,6388.785,6389.175,6389.37
6.998,5865.21,6389.5650000000005,6389.5650000000005,72.735,6388.785,6389.175,6378.45,5162.625,6389.5650000000005,6389.5650000000005,136.305,6258.135,6336.33,4959.045,6386.445000000001,4921.6050000000005
7.0,4637.49,3816.3450000000003,6389.5650000000005,73.71000000000001,6389.175,6389.37,3194.685,3868.605,4324.32,4558.32,65.52,3028.545,4110.015,3677.31,6383.325,3940.3650000000002
7.004,-913.575,-3537.69,690.495,68.44500000000001,1205.88,1888.575,-3702.465,-2541.8250000000003,-3321.8250000000003,-2828.8650000000002,167.895,-5873.985000000001,-4051.905,-2770.56,-1064.115,-3261.375
7.006,-4514.445,-5705.115,-1240.98,74.295,-1335.165,-433.68,-5374.9800000000005,-4900.545,-5537.025000000001,-4538.625,122.655,-4079.985,-5597.865,-4614.285,-2685.3450000000003,-4660.305
7.01,-2193.165,-2797.275,-5318.820000000001,88.14,-5237.505,-5387.265,-2797.665,238.095,-2719.665,-3232.905,36.855000000000004,-3013.725,-2887.3650000000002,849.4200000000001,-3830.385,1031.55
7.014,5685.81,3743.025,673.335,89.11500000000001,1223.82,325.26,4160.91,6373.575,3486.21,3739.905,325.065,3362.775,3877.77,6381.765,3540.225,6387.615
7.016,6389.5650000000005,6389.5650000000005,4467.84,80.535,5231.070000000001,4262.895,6389.5650000000005,6389.5650000000005,6389.5650000000005,6389.5650000000005,211.77,6389.5650000000005,6389.5650000000005,6389.5650000000005,6389.5650000000005,6389.5650000000005
7.018,5561.01,6377.085,6383.325,78.39,6389.5650000000005,6389.5650000000005,6178.965,5861.505,6175.455,6382.35,142.35,5662.215,5526.6900000000005,5159.505,6376.695000000001,5483.79
7.02,4412.85,3055.065,6339.645,77.025,6387.615,6388.59,1637.415,4512.6900000000005,2282.8650000000002,4209.8550000000005,41.535000000000004,813.15,1205.295,3984.63,5861.115,3629.34
