timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
19.141,395.265,-2993.25,-4590.6900000000005,86.19,-5234.97,-5391.360000000001,-2545.92,-162.24,-2716.155,-1843.14,197.535,-2691.585,-2267.265,440.31,-4664.01,-203.38500000000002
19.145,6389.5650000000005,3957.525,1980.03,83.07000000000001,1738.815,1418.43,4727.775000000001,6357.585,3677.895,5932.29,501.345,4690.335,4719.39,6389.5650000000005,2873.3250000000003,6388.005
19.149,6111.6900000000005,6275.685,6383.325,68.44500000000001,6389.5650000000005,6389.5650000000005,5192.655,5190.51,4592.055,6289.530000000001,324.48,4567.485000000001,5478.525000000001,5104.320000000001,6389.5650000000005,4581.525000000001
19.153,3341.13,-1371.24,4590.885,69.42,4527.51,4260.555,-2330.445,2104.83,-1988.6100000000001,-1090.05,332.08500000000004,-3560.7000000000003,-1864.2,1871.805,2129.4,765.375
19.157,-4289.805,-5088.525000000001,-2492.685,66.105,-3028.35,-3078.6600000000003,-3278.34,-5449.665,-3864.705,-6005.025000000001,210.405,-2988.1800000000003,-3786.9,-4785.3,-5657.145,-5957.445000000001
19.161,-77.22,-3006.705,-4488.705,85.215,-5234.385,-5384.145,-2395.965,-555.165,-2369.445,-1464.255,208.065,-2587.65,-2300.61,-108.22500000000001,-4738.305,252.72
19.165,6389.5650000000005,4158.765,2071.6800000000003,79.36500000000001,1736.865,1667.055,5126.55,6357.975,4376.97,6381.765,495.105,5189.535,4990.83,6389.175,3194.4900000000002,6389.5650000000005
19.17,6111.6900000000005,3480.165,6389.5650000000005,69.42,6389.5650000000005,6389.5650000000005,4183.725,5249.205,4023.8250000000003,6361.095,308.295,3760.77,4226.235000000001,4808.7,6389.5650000000005,4686.045
19.174,2642.25,-1321.32,3542.565,75.66,3243.8250000000003,2570.295,-3681.405,371.08500000000004,-2731.17,-1529.97,338.91,-4862.13,-3559.53,25.35,2362.035,41.145
19.178,-4538.625,-5618.145,-2732.145,68.055,-3528.525,-4226.625,-3427.905,-5873.985000000001,-4276.545,-5873.985000000001,216.255,-3777.3450000000003,-3377.985,-6023.745,-4576.0650000000005,-5724.225
19.182,167.505,-2879.37,-4151.55,79.17,-4732.26,-4622.865,-2281.3050000000003,371.08500000000004,-1982.76,-163.995,278.85,-2735.46,-2326.545,708.63,-3346.59,1000.5450000000001
19.186,6389.5650000000005,3768.7650000000003,1872.0,80.535,1843.53,2119.8450000000003,4654.0650000000005,6339.255,4267.77,6339.645,474.045,4330.365,3987.165,6386.445000000001,3935.685,6386.445000000001
19.19,6039.93,3668.925,6389.5650000000005,72.735,6389.5650000000005,6389.5650000000005,3868.9950000000003,5004.4800000000005,3778.125,5882.5650000000005,291.33,3739.905,4194.255,4541.55,6389.5650000000005,4467.84
19.194,2653.17,-902.46,4041.57,75.66,3632.07,3001.635,-2824.965,201.435,-2097.6150000000002,-1746.8100000000002,333.45,-3761.1600000000003,-2512.5750000000003,-590.85,2196.285,178.62
19.198,-4963.725,-5206.305,-3337.425,69.61500000000001,-3928.665,-4528.485000000001,-3326.895,-5724.81,-3926.9100000000003,-6023.9400000000005,212.94,-3203.2650000000003,-3365.505,-5705.505,-5134.545,-5420.025000000001
19.202,49.725,-3419.52,-4286.88,99.84,-4867.2,-4767.360000000001,-2408.835,1191.645,-2004.795,-795.6,234.39000000000001,-2413.71,-2113.02,1339.845,-3864.9,1062.945
19.206,6389.5650000000005,3790.605,2088.645,79.36500000000001,2242.3050000000003,2612.415,5299.71,6387.615,4834.83,6386.055,466.05,5125.185,4958.655,6389.5650000000005,4033.965,6389.5650000000005
