timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
3004,3148,6822,5458,416,16086,18022,14386,2264,17869,14499,4368,1798,2159,13738,14667,16609
3012,13975,4308,6120,73,16891,20331,16124,21796,18249,18753,150,13368,11082,12350,4642,15230
3020,7770,19890,18803,48,14976,4736,24649,7664,22230,2150,117,31605,5666,17643,24204,32541
3027,3774,1997,3017,18,13038,24568,8017,19718,4671,21538,93,32767,27917,22983,28785,26569
3035,32767,32767,32767,14,32767,31300,32767,32767,32767,26222,29,22015,29409,20560,27941,6149
3043,19312,17504,18713,27,21924,23456,20634,18467,14750,26623,16,20630,9830,20228,28133,13432
3050,4984,5120,1983,37,4890,7460,3092,5218,6670,6061,48,12016,14644,5032,11163,11526
3058,13407,10767,19958,4,16796,16028,12911,4722,16755,19322,16,32767,32767,32767,30020,32767
3066,17768,22790,32767,1,32767,32767,8573,26183,6654,31337,96,14812,15728,21966,20183,16747
3074,24063,32767,25432,94,30531,31423,32767,32767,32767,32767,20,4876,842,7811,19776,4267
3081,15488,17066,15526,91,22716,11535,18873,15682,18131,12090,113,18004,17743,15948,7079,23186
3089,8448,7072,650,92,8702,1440,13136,299,4403,6004,13,32767,32767,32767,28802,32029
3097,32767,32767,25696,63,25971,22972,13326,19728,7173,26023,206,32767,32767,29981,32767,27894
3104,16528,19788,20777,84,32624,32767,32767,31333,27750,31366,219,24984,22649,23410,22064,22925
3112,752,2287,8543,11,23503,23873,31182,29542,27501,20577,295,857,2080,1812,16508,6351
3120,1607,16335,1886,0,8341,17482,24404,20498,23581,5176,80,29502,16011,25708,12712,32767
3128,20440,8188,20957,50,23914,11739,3587,4691,2235,14796,46,32767,31935,30645,32257,25024
3135,32767,32767,32767,5,26795,32634,32767,27050,29826,26042,47,26923,29716,26633,30750,13128
3143,17792,23794,18683,11,22088,22797,29151,21789,25988,26461,42,24621,16652,22434,26650,22748
3151,4208,13852,1037,31,12041,7314,3533,10888,12803,7937,107,7008,7649,6681,2457,4299
3159,11503,12773,16161,57,10700,2813,19701,2036,23632,3793,207,32767,32767,32767,14310,32767
3166,19042,25514,32767,50,31547,25967,10890,23275,2948,20527,105,18159,17856,18641,14823,14375
3174,30666,32767,27832,0,32767,32767,32767,32767,32767,32767,39,7095,4579,4395,16504,2669
3182,22105,6959,21633,11,22028,16817,21019,13864,17460,23168,79,8505,16497,16223,2501,15727
3189,5970,13439,6165,0,11493,9683,4826,799,5784,4202,41,27567,31926,32767,25760,32074
3197,32767,32767,15325,3,19084,19177,8046,14210,7505,21021,21,32767,32767,30882,32767,31404
3205,13222,23598,26678,19,32767,32767,32263,32767,28993,32767,74,14545,22419,23063,22396,21517
3213,3836,14317,27872,29,25696,24199,32767,31689,32767,31070,79,7933,1812,830,20993,4671
3220,6812,19810,19271,6,23346,8703,22001,18942,22768,14477,88,16212,15401,11872,9344,31101
3228,16768,3151,3562,11,2685,14271,3520,2046,2015,4976,150,32767,32767,28726,32767,28613
3236,32767,32767,21928,30,27920,26729,32767,24446,20412,27598,166,32037,31974,31669,32767,24778
3243,15744,24462,19673,22,24343,22871,19562,25269,30984,31959,90,24321,21329,22277,26934,24865
3251,128,3024,12779,37,15216,24682,7951,17754,18503,26274,180,4690,4500,1955,32,4668
3259,17768,5720,9140,149,13808,23743,17093,12448,19013,6209,38,12544,17960,10162,28602,13881
3267,24075,4464,30857,102,13673,12215,2171,15283,1399,25109,60,28677,26474,19806,23134,19602
3274,32767,27666,31232,103,32767,32767,32767,32767,32767,23680,234,32767,30969,26395,10322,16773
3282,16862,27673,20014,145,22423,22293,19878,18350,18552,24836,59,17079,4916,1469,25749,8233
3290,17474,9090,1438,36,5303,9327,1079,2047,2470,7505,17,10581,28166,22816,561,25183
3298,22314,32767,25549,110,16183,18413,4415,7003,12536,20824,126,32767,32767,32634,21714,32767
3305,19033,24961,32767,122,32767,32767,22505,29909,9410,32767,105,16186,19443,21887,24322,19107
3313,18760,26963,25514,123,29955,24170,32767,32767,32767,32767,57,1955,888,3665,22292,502
3321,20641,18812,18667,116,22228,11016,18726,13383,17729,11180,389,483,18186,9685,10388,21972
3328,7584,10497,1533,13,7107,2659,11079,1824,3075,5311,96,30115,32767,29752,32767,30762
3336,32767,32767,26175,42,31675,27210,31458,24378,17284,23623,75,32767,30581,30541,32467,29256
3344,16024,17912,21121,13,32028,28877,32767,30719,32767,30042,41,16533,21686,21658,25388,23361
3352,1512,2728,7077,107,14951,15018,19503,23364,21965,19619,290,7094,1145,1182,11517,6823
3359,2597,9819,3542,109,4898,15569,25536,11317,22662,1414,97,21715,20364,24210,20974,32767
3367,18850,395,18888,5,25322,14400,3242,17638,1126,16338,46,32767,30633,27565,30038,21037
3375,32767,32767,32767,6,30142,31284,32767,29268,31774,29086,153,29463,29082,25251,22835,8141
3382,20288,18258,19636,16,23360,24064,25792,20847,22115,29225,183,24746,20241,22008,26205,21585
