timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
3004,30322,7530,32767,15818,8362,24170,816,22260,1574,13237,12458,7908,6783,26033,32767,5167
3012,20842,21023,28581,45,21756,7636,7639,15518,1882,25857,409,26404,23566,27649,32767,28503
3020,32767,32767,32718,33,27180,24788,29013,26836,14347,32767,237,32767,32767,32767,30769,32767
3027,20808,21514,12634,3,10249,32767,32767,26026,31233,27730,104,28775,28016,22202,14093,21689
3035,8808,1863,5622,5,1056,19072,11348,24490,20650,6313,210,5067,7324,108,18585,972
3043,1789,9675,8265,8,5303,17432,11949,6997,21568,1477,28,5370,1639,24688,32767,25051
3051,23265,7228,23968,11,26955,9317,8141,16061,2740,9840,13,8664,12786,28316,26776,25309
3058,32767,25341,31316,22,32767,32767,29191,32767,29005,32767,384,25381,25473,25719,10445,25011
3066,14907,17117,20205,52,22837,3264,21693,18373,19282,12881,431,26423,22638,18998,6754,15957
3074,9061,85,5091,58,3652,4911,360,4352,10461,4911,315,7097,1532,311,11902,7505
3081,22282,32767,23287,54,17320,3305,28203,4736,15619,20540,311,32055,32767,22382,32767,21806
3089,31129,31548,25988,70,28031,30485,32319,24490,31701,32767,233,32767,23537,28890,29906,25181
3097,27068,24013,15612,67,28504,29292,28129,32767,29508,14717,184,4167,548,13390,7226,12695
3105,9990,22683,21044,27,23195,5778,24641,11761,22506,10321,128,11330,13059,5080,4422,8320
3112,16015,3941,914,45,8102,20591,4387,11600,5814,3398,75,4665,2254,23845,933,28798
3120,32767,32196,32767,47,30621,27549,32495,32268,21129,32767,143,32767,32767,32767,32767,32767
3128,23992,32767,20513,3,32767,23498,32767,30455,32767,27844,257,30681,20130,25070,23077,23560
3135,11006,5967,804,3,9705,23059,19490,19668,25124,51,134,3677,3502,2173,11903,666
3143,2269,1378,4617,5,21028,3266,22635,7348,21703,4788,146,20680,13171,21264,11298,23316
3151,22026,21016,13104,8,3868,21341,6961,16000,8196,11909,171,27075,25667,28647,29663,26944
3159,32767,27106,32767,5,32767,21431,32767,32767,30046,32767,179,23470,21634,26410,20104,26286
3166,15640,21147,18542,15,19395,831,20977,17022,19647,24381,90,25479,22369,19260,5050,16978
3174,6116,4269,3846,18,1466,11659,4717,3875,8558,13332,171,12247,4587,1544,17489,2717
3182,22992,27374,19149,45,18083,20333,16561,4497,16190,10217,318,31978,32767,21044,32767,19625
3189,31453,32767,27031,81,29057,31311,32767,24722,30520,32767,399,32767,22680,28877,23793,25854
3197,27500,26182,17994,19,25203,27835,29916,32767,31448,18381,403,6558,1207,15720,5696,13643
3205,11683,22540,22562,28,25108,16297,25266,9674,23413,3404,383,16116,13995,2745,12599,7501
3213,12890,7079,2339,3,7823,1651,5142,11298,4674,27368,84,7572,3982,21787,2266,27273
3220,32767,31644,32767,12,25760,26326,32168,25792,20001,32767,220,32767,32767,32767,32767,32636
3228,23504,32767,24857,28,30705,25802,32767,29141,31850,11181,18,30239,22660,24630,12451,24549
3236,11388,7933,1427,57,9870,3682,19401,25315,24167,10337,254,4600,3862,2447,18387,1387
3243,3825,3776,3825,74,21418,8028,22245,8678,21521,1680,81,23915,10554,20424,32767,23670
3251,21420,20101,9483,22,5209,25348,7635,15980,7587,5683,99,30048,22901,28824,24408,26941
3259,32767,29318,32767,31,32767,21339,32767,32767,30979,32767,263,24112,22674,27907,8004,27225
3267,14336,19743,18821,35,19812,22368,19598,18357,20264,24762,162,25425,22402,21387,12523,18432
3274,5976,194,3982,20,2329,14085,3173,1296,8411,15620,209,13036,7275,7926,8550,3481
3282,14900,20726,20939,13,2795,10657,4577,1960,3737,1057,172,32702,32767,16457,32767,16042
3290,25709,28161,29884,54,23090,20435,18465,21837,13983,26300,94,32767,30093,27200,29860,25035
3298,28908,17665,22366,45,32767,12125,27031,32767,24229,22209,0,7043,7408,16059,12129,12417
3305,12953,17560,20558,8,19722,20518,22922,16703,19151,22738,255,15674,17447,2596,7800,3206
3313,15286,17004,4264,78,7087,26620,11502,7138,15012,3372,405,5748,7689,18364,27067,26379
3321,32767,29414,32767,61,20115,22001,24950,26930,17623,32767,365,32767,32767,32767,32767,32767
3328,23182,32767,26448,18,27720,32767,32767,29443,32767,24845,426,31723,24906,26433,20431,23306
3336,13274,6885,2585,26,9258,9931,17642,24220,23249,1628,180,2181,4861,1954,4072,1265
3344,3649,5532,17813,59,21911,2613,21840,7078,21827,8623,204,18080,3306,21367,13696,23413
3352,20906,14631,4142,51,6731,24945,6352,15899,8090,19195,217,24499,15496,29899,30001,27520
3359,32767,28756,32767,36,32767,32767,32767,32767,32767,32767,83,24985,26283,28586,27402,28548
3367,14957,19126,20003,35,21913,12127,19968,19733,20285,22353,236,26500,22951,20529,1987,18803
3375,8723,3127,849,14,185,10712,6318,4831,9881,8172,103,10010,8172,612,24837,5133
3382,17568,24012,20554,3,12005,22446,9872,6878,2943,6384,139,32400,28216,22667,32767,22009
3390,28561,31274,25660,11,26819,27328,30741,23530,23397,31482,253,32767,30043,28355,23099,25309
3398,29752,28073,17321,57,29593,28345,32767,32767,30452,26932,116,8457,10453,15895,5890,14329
